Comment,Description,MANUFACTURER,MANUFACTURER PN,Designator,DIGIKEY PN,Quantity

"W_MAIN_PCB","","","","","","1"
"W_PWR_IN","","","","","","1"
"1uF","CAP CER 1UF 100V X7R 1210","TDK Corporation","C3225X7R2A105M200AA","C1","445-1429-1-ND","1"
"10uF","CAP CER 10uF 63V X7S 1210","","","C2, C3, C29, C30, C83","490-9970-1-ND","5"
"0.1uF","CAP CER 0.1UF 50V X7R 0603","Yageo, Murata Electronics North America","CC0603KRX7R8BB104, GCM188R71H104KA57D","C4, C26, C34, C36, C41, C45, C47, C49, C53, C55, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C68, C69, C70, C71, C74, C76, C77, C78, C81, C84, C85","1276-1000-2-ND(STOK)","31"
"0.47uF","CAP CER 0.47UF 16V X7R 0603","Samsung Electro-Mechanics","CL10B474KO8NFNC","C5, C19","1276-2085-1-ND","2"
"100uF","CAP ALUM 100UF 20% 250V RADIAL","Panasonic Electronic Components","EEU-EE2E101","C6, C7, C8","P13647-ND","3"
"1uF","CAP CER 1UF 50V X5R 0603, CAP CER 1UF 25V X5R 0603","Murata Electronics North America, Samsung Electro-Mechanics","GRT188R61H105KE13D, CL10A105KA8NNNC","C9, C20, C22, C44, C46, C56, C67, C73","1276-1184-2-ND(STOK)","8"
"1nF","CAP CER 1000PF 100V X7R 0603","Yageo","CC0603KRX7R0BB102","C10, C12","311-1467-1-ND","2"
"10nF","CAP CER 10000PF 100V X7R 0603","Samsung Electro-Mechanics","CL10B103KC8NNNC","C11, C25, C35, C72, C79, C82","1276-1196-2-ND(ANTSIS_STOK)","6"
"2.2uF","","","","C13, C21","490-6418-1-ND","2"
"10uF","CAP CER 10UF 25V X7R 1206","Samsung Electro-Mechanics","CL31B106KAHNNNE","C14, C28, C38, C39, C40, C42, C43, C75","1276-1804-2-ND(ANTSIS_STOK)","8"
"100pF","CAP CER 100PF 100V C0G/NP0 0603","Murata Electronics","GRM1885C2A101JA01D","C15, C23","490-1351-1-ND","2"
"33nF","CAP CER 0.033UF 50V X7R 0603","Murata Electronics","GCM188R71H333KA55D","C16","490-8025-1-ND","1"
"150uF","CAP ALUM 150UF 20% 500V SNAP","Chemi-Con","565-5107-ND","C17, C18","565-5107-ND","2"
"47nF","CAP CER 0.047UF 50V X7R 0603","Murata Electronics","GCM188R71H473KA55D","C24","490-4934-1-ND","1"
"47uF","CAP TANT POLY 47UF 16V 2917","","","C27","478-13360-1-ND","1"
"10nF","CAP CER 10000PF 250V X7R 0805","TDK Corporation","C2012X7R2E103K125AA","C32","445-2280-1-ND","1"
"4700PF","CAP CER 4700PF 50V X7R 0603","Samsung Electro-Mechanics","CL10B472KB8NNNC","C33","1276-1098-1-ND","1"
"4.7uF","CAP CER 4.7UF 16V X5R 0603","Samsung Electro-Mechanics","CL10A475KO8NNNC","C48","1276-1784-2-ND(ANTSIS_STOK)","1"
"2pF","CAP CER 2PF 50V NPO 0603","Yageo","CC0603BRNPO9BN2R0","C50, C51","311-3827-1-ND","2"
"4.3pF","CAP CER 4.3PF 50V C0G/NPO 0402","Yageo","CC0402CRNPO9BN4R3","C52, C54","311-1632-1-ND","2"
"47uF","CAP CER 47UF 10V X7R 1210","","","C80","490-9968-1-ND","1"
"W_LOG_CONN","","","","CONN1","","1"
"W_EXT_PWR","","","","CONN2","","1"
"W_LINE_CONN","","","","CONN3","","1"
"W_CCL_CONN","","","","CONN5","","1"
"W_USB_PANEL","","","","CONN6","","1"
"STPSC10H12DY","DIODE SCHOTTKY 1.2KV 10A TO220AC","","","D1, D2","497-17244-ND","2"
"DIODE SCHOTTKY","DIODE SCHOTTKY 60V 3A SMB","","","D3","B360B-FDICT-ND","1"
"RGB LED","1716 TRICOLOR PLCC-4 LED","","","D4","516-ASCB-RTCC-0A207CT-ND","1"
"SP0503BAHTG","30pF 30kV Unidirectional TVS Array, SP05 Series","LittelFuse","SP0503BAHTG","D5","F2715CT-ND","1"
"TVS DIODE 40VC","40V (Typ) Clamp Ipp Tvs Diode Surface Mount 0603","","AXGD10603NR","D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D23, D24","F10020CT-ND","16"
"16V","TVS DIODE 16VWM 26VC DO214AC","Littelfuse Inc.","SMAJ16A","D20","SMAJ16ALFCT-ND","1"
"1N4148W-7-F","DIODE GEN PURP 100V 300MA SOD123","Diodes Incorporated","1N4148W-7-F","D21, D22, D28, D29","1N4148W-FDICT-ND","4"
