Comment,POPULATED,Description,Designator,Quantity,DIGIKEY PN,MANUFACTURER PN,MANUFACTURER,Footprint,Stok Durumu

"0R","YES","0 Ohms Jumper Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R73, R78","2","311-0.0LRCT-ND","RC0402FR-070RL","YAGEO","RESC1005-0402X35N","YES"
"0R","YES","RES SMD 0 OHM JUMPER 1/10W 0603","R3, R9, R26, R27","4","311-0.0HRTR-ND","RC0603FR-070RL","Yageo","RESC1608-0603X50N","YES"
"0.1uF","YES","CAP CER 0.1UF 16V X7R 0402","C9, C11, C12, C13, C14, C15, C16, C18, C19, C20, C21, C24, C25, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C46, C47, C48, C49, C50, C52, C53, C54, C56, C59, C96, C97, C98, C99, C108, C109, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C126, C127, C128, C129, C130, C137, C140, C144, C145, C146, C155, C157","67","311-1338-2-ND","CC0402KRX7R7BB104","YAGEO","CAPC1005-0402X55N","YES"
"0.1uF","YES","CAP CER 0.1UF 16V X7R 0402","C78","1","311-1338-2-ND","CC0402KRX7R7BB104","Yageo","CAPC1005-0402X55N","YES"
"0.1uF","YES","CAP CER 0.1UF 50V X7R 0603","C3, C55, C84, C89, C101, C102, C107, C131, C132, C136, C142, C147, C148, C151, C154, C158, C160","17","1276-1000-2-ND","CL10B104KB8NNNC","Samsung Electro-Mechanics","CAPC1608-0603X90N","YES"
"0.1uF","YES","CAP CER 0.1UF 50V X7R 0603","C112","1","1276-1000-1-ND","CL10B104KB8NNNC","Samsung Electro-Mechanics","CAPC1608-0603X100N","YES"
"0.15uF","YES","CAP CER 0.15UF 100V X7R 0805","C74","1","399-15019-1-ND","C0805C154K1RAC7800","KEMET","CAPC2012-0805X100N","NO"
"0.22uF","YES","CAP CER 0.22UF 50V X7R 0603","C68, C70","2","490-12546-6-ND","GRM188R71H224KAC4D","Murata Electronics","CAPC1608-0603X90N","YES"
"0.47uF","YES","CAP CER 0.47UF 6.3V X7R 0402","C125","1","587-MSASJ105SB7474MFNA01CT-ND","MSASJ105SB7474MFNA01","Taiyo Yuden","CAPC1005-0402X55N","NO"
"0.68µH","YES","WE High Current 5.1nH 0603","L5, L6","2","WURTH","744760268A","Würth Elektronik","INDC2012-0805X90N","NO"
"1K","YES","RES 1K OHM 1% 1/10W 0603","R42, R50, R66, R67, R92, R97, R105, R110","8","311-1.00KHRTR-ND","RC0603FR-071KL","Yageo","RESC1608-0603X50N","YES"
"1N5711W-7-F","YES, NO","RF Diode Schottky - Single 70V 15 mA 333 mW SOD-123","D10, D11, D12, D13, D20, D21","6","1N5711W-FDICT-ND","1N5711W-7-F","Diodes Inc","SOD123_DIO","NO"
"1nF","YES","CAP CER 1000PF 50V X7R 0402","C105, C133","2","478-1101-1-ND","04025C102KAT2A","KYOCERA AVX","CAPC1005-0402X55N","NO"
"1R","YES","RES SMD 1 OHM 1% 1/10W 0603","R1, R2","2","P1.0AJCT-ND","ERJ-3RQF1R0V","Panasonic Electronic Components","RESC1608-0603X50N","NO"
"1uF","YES","CAP CER 1UF 16V X7R 0603","C76, C94, C141","3","1276-6524-1-ND","CL10B105MO8NNWC, CL21B105KBFNFNE","Samsung Electro-Mechanics","CAPC1608-0603X90N","NO"
"1uF","YES","CAP CER 1UF 25V X7R 0603","C1, C2, C10, C17, C65, C100, C104, C138, C139, C149, C150, C156, C159, C167","14","1276-1184-1-ND","CL10B105KA8NNNC","Samsung Electro-Mechanics","CAPC1608-0603X90N","NO"
"1uF","YES","CAP CER 1UF 50V X7R 0805","C44, C51, C66, C113, C114","5","1276-2928-6-ND","CL21B105KBFNFNE","Samsung Electro-Mechanics","CAPC2012-0805X80N","YES"
"1uF","YES","CAP CER 1UF 50V X7R 0805","C69, C168","2","1276-2928-6-ND","CL21B105KBFNFNE","Samsung Electro-Mechanics","CAPC2012-0805X110N","YES"
"1.5K","YES","RES SMD 1.5K OHM 1% 1/10W 0402","R6","1","P1.50KLCT-ND","ERJ-2RKF1501X","Panasonic Electronic Components","RESC1005-0402X35N","NO"
"1.5pF","YES","1.5 pF ±0.1pF 250V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)","C92, C93","2","1284-600S1R5BT250XT4KCT-ND","600S1R5BT250XT4K","American Technical Ceramics","CAPC1608-0603X90N","NO"
"1.74M","YES","RES 1.74M OHM 1% 1/10W 0603","R22","1","13-RC0603FR-071M74LCT-ND","RC0603FR-071M74L","YAGEO","RESC1608-0603X50N","NO"
"2K","YES","RES SMD 2K OHM 1% 1/10W 0603","R71","1","311-2.00KHRCT-ND","RC0603FR-072KL","Yageo","RESC1608-0603X50N","NO"
"2.2uF","YES","CAP CER 2.2uF 100V 1210","C67","1","490-5840-1-ND","GCJ32DR72A225KA01L","Murata Electronics","CAPC3225-1210X140N","NO"
"2.2uF","YES","CAP CER 2.2UF 10V X7R 0603","C103","1","1276-2016-1-ND","CL10B225KP8NFNC","Samsung Electro-Mechanics","CAPC1608-0603X90N","YES"
"2.2uF","YES","CAP CER 2.2UF 16V X7R 0603","C80","1","490-GRM188Z71C225ME43JCT-ND","GRM188Z71C225ME43J","Murata Electronics","CAPC1608-0603X90N","NO"
"2.4M","NO","RES 2.4M OHM 5% 1/10W 0603","R59","1","311-2.4MGRCT-ND","RC0603JR-072M4L","YAGEO","RESC1608-0603X50N","NO"
"4K99","YES","RES SMD 4.99K OHM 1% 1/16W 0402","R81, R83","2","311-4.99KLRCT-ND","RC0402FR-074K99L","Yageo","RESC1005-0402X35N","NO"
"5.1nH","YES","WE High Current 5.1nH 0603","L7","1","WURTH","744917051","Würth Elektronik","INDC1608-0603X80N","NO"
"6 PIN CONN","YES","CONN RCPT 6POS 0.039 GOLD SMD","P2","1","SAM13368CT-ND","CLM-103-02-F-D-TR","Samtec Inc.","CLM-103-02-F-D-TR","NO"
"10K","YES","RES 10K OHM 1% 1/10W 0603","R79, R91","2","311-10.0KHRTR-ND","RC0603FR-0710KL","YAGEO","RESC1608-0603X50N","YES"
"10K","YES","RES SMD 10K OHM 5% 1/5W 0402","R14, R16","2","RHM1003CT-ND","ESR01MZPJ103","Rohm Semiconductor","RESC1005-0402X35N","NO"
"10K","YES, NO","RES 10K OHM 5% 1/16W 0402, RES SMD 10K OHM 5% 1/16W 0402","R19, R20, R35, R37, R39, R43, R46, R47, R52, R57, R60, R65, R68, R69, R70, R74, R75, R76, R77, R82, R84, R85, R86, R87, R90, R93, R94","27","311-10KJRCT-ND","RC0402JR-0710KL","YAGEO","RESC1005-0402X35N","YES"
"10K","YES, NO","RES SMD 10K OHM 5% 1/5W 0603","R95, R102","2","P16032CT-ND","ERJ-P03J103V","Panasonic Electronic Components","RESC1608-0603X50N","NO"
"10nF","NO","CAP CER 10000PF 100V X7R 0603","C106","1","1276-1196-2-ND","CC0603KRX7R0BB103","Yageo","CAPC1608-0603X85N","YES"
"10nF","YES","CAP CER 10000PF 50V X7R 0402","C6, C7, C8, C77, C134","5","1276-1028-1-ND","CL05B103KB5NNNC","Samsung Electro-Mechanics, AVX Corporation","CAPC1005-0402X55N","YES"
"10uF","YES","CAP CER 10UF 10V X7R 0603","C4, C22, C23, C57, C58, C79","6","4713-GMC10X7R106K10NTCT-ND","GMC10X7R106K10NT","Cal-Chip Electronics, Inc.","CAPC1608-0603X90N","NO"
"10uH","YES","10 µH Shielded Drum Core, Wirewound Inductor 1.72 A 230mOhm Max 1210 (3225 Metric)","L11","1","445-BCL322520RT-100M-DCT-ND","BCL322520RT-100M-D","TDK Corporation","INDC3225-1210X130N","NO"
"14.3K","YES","RES SMD 14.3K OHM 0.1% 1/5W 0603","R4","1","P20102CT-ND","ERJ-PB3B1432V","Panasonic Electronic Components","RESC1608-0603X50N","NO"
"15pF","YES, NO","CAP CER 15PF 25V NP0 0402","C152, C153","2","478-11757-1-ND","04023U150JAT2A","KYOCERA AVX","CAPC1005-0402X55N","NO"
